,dtype,missing_rate,unique_values,outlier_rate_iqr,abs_corr_with_target
ambient_temp,float64,0.0,101,0.0,0.003907359289972515
current_phase_avg,float64,0.03040512436569337,2195,0.0065718326262374175,0.15670926073430316
estimated_repair_cost,int64,0.0,2531,0.14807420347724815,0.9321440344578281
failure_type,object,0.0,5,0.0,0.0
failure_within_24h,int64,0.0,2,0.14807420347724815,1.0
hours_since_maintenance,float64,0.0,16082,0.0,0.09951868352143273
machine_id,int64,0.0,20,0.0,0.012657486328544418
machine_type,object,0.0,4,0.0,0.0
operating_mode,object,0.0,3,0.0,0.0
pressure_level,float64,0.03843274270027452,1419,4.159387738124948e-05,0.012635266556818734
rpm,float64,0.022169536644205973,9746,0.015514516263206057,0.024159227814476197
rul_hours,float64,0.0,7513,0.0,0.25323488884595097
temperature_motor,float64,0.034689293735962065,5179,0.009109059146493636,0.385782319945249
timestamp,object,0.0,21176,0.0,0.0
vibration_rms,float64,0.04159387738124948,656,0.019881873388237253,0.2638210199250832
